date,day_num,barrage_count,barrage_count_min,barrage_count_max,locations,hits_confirmed,casualties_notes,sources,notes
2026-03-13,14,11,10,12,"Multiple areas",4,"","ALMA","Alma 11 waves. No specific media barrage count. Chart 4 ~4 hits."
2026-03-14,15,7,6,8,"Multiple areas",2,"","ALMA_WEEKEND_MAR1314","Alma 7 waves. Weekend update notes high Hezbollah activity alongside Iranian BM."
2026-03-15,16,10,9,11,"Multiple areas",8,"","INSS;FDD;ALMA","Alma 10 waves. INSS >290 BM anchor. Chart 4 ~8 hits but likely drone-dominated."
2026-03-16,17,12,11,13,"Multiple areas",1,"","ALMA","Alma 12 waves. Media: 'more attacks but many missiles shifted to Gulf'."
2026-03-17,18,,1,3,"Near Hebron/West Bank (fatal hit CONFIRMED Mar17); other intercepts",2,"2 killed (cluster BM per WIKI_HE); 3 women killed near Hebron (ToI — CONFIRMED Mar17)","ALMA;WIKI_HE;TIMES_IL","Alma 11 waves. Two confirmed kills from cluster BM (WIKI_HE). Hebron 3 women killed: DATE RESOLVED = Mar17 (R15 Perplexity co-cites ToI article with Alma Mar17 daily report). See conflicts.md CONFLICT-2."
2026-03-18,19,,3,5,"Central Israel; West Bank (multiple impact locations)",6,"Multiple injuries at cluster impact sites","JINSA_MAR24_PDF;ALMA;TIMES_IL","Alma 13 waves. 6 confirmed all-projectile hits (JINSA Chart 4). Perplexity confirms est=15 BM range 13-17."
2026-03-19,20,,4,6,"TLV (31.6%); North (31.6%); Jerusalem (26.3%); South (10.5%)",8,"12 injured central IL (Ynet: cluster missile not intercepted); Eshtaol-area injuries","JINSA_MAR24_PDF;ALMA;YNET","Alma 19 waves — spike day. 8 confirmed all-projectile hits. Perplexity confirms est=18 BM range 16-20."
2026-03-20,21,,,,"South/Negev; central Israel (overnight)",0,"","TIMES_IL;YNET;ALMA","Alma Mar20-21=29 waves combined; Statista Mar20=13. JINSA global=30. Heavy barrages overnight. Barrage cycles not distinguishable from Mar21."
2026-03-21,22,,2,4,"Arad (cluster hit); Dimona area (hit)",2,"64 injured in Arad (7 serious) — ToI/MDA","TIMES_IL;YNET;ALMA","Alma Mar21=8 (Statista). JINSA global=20. Min 2 distinct target events (Arad+Dimona)."
2026-03-22,23,,,,"South; center (reduced fire)",0,"","TIMES_IL;ALMA","Alma 8 waves. JINSA global=26; UAE=4. Reduced fire; focus on Saudi/Gulf."
2026-03-23,24,,0,2,"Israeli power plant (missed)",0,"","TIMES_IL;ALMA;JINSA_MAR24_PDF","Alma 7 waves. Hebron fatal hit removed from this date — RESOLVED to Mar17. Iranian missile targeted Israeli power plant but missed."
2026-03-24,25,,4,6,"Bnei Brak/Gush Dan (cluster); Eshtaol/Route 1; Tel Aviv; Haifa",6,"Bnei Brak 9 injured (cluster); Eshtaol/Route 1 19 injured; TLV+Haifa cluster hits","TIMES_IL;YNET;JINSA_MAR24_PDF;ISW_MAR24","Alma 9 waves. JINSA global=46; non-Israel=35. Worst casualty day late-March."
2026-03-25,26,,,,"Central Israel (light hits)",3,"Few minor injuries","TIMES_IL;JINSA_MAR25_PDF;ALMA","Alma cumul=346 anchor. JINSA global=26; Jordan=5."
2026-03-26,27,,,,"Central Israel; southern Israel",2,"No catastrophic hits","TIMES_IL;ALMA;JINSA","Alma 11 waves. JINSA global=31; UAE=15."
2026-03-27,28,5,5,6,"Central IL (intercepted); Beersheba/Dimona (intercepted); Jerusalem corridor (intercepted); Haifa area (cluster hit); Tel Aviv (fatal hit)",2,"1 killed TLV; Haifa injuries","TIMES_IL;YNET;JINSA_MAR27_PDF","5-6 distinct siren/barrage cycles. JINSA global=21; Saudi=6+Kuwait=4=10 non-Israel → Israel max=11."
2026-03-28,29,2,2,3,"Jerusalem-area town (hit); unspecified central/south (intercepted)",1,"Several lightly hurt (Jerusalem-area)","IDF_LIVE;TIMES_IL;YNET;CNN","IDF confirmed plural missiles. Small salvo. 1 confirmed impact. ⚠ 1 Houthi BM from Yemen also intercepted — NOT Iran-origin, not counted."
