source_id,name,tier,type,country,url,data_provided,dates_covered,access_status,notes
ACLED,Armed Conflict Location & Event Data,2,statistical_org,US,https://acleddata.com/update/middle-east-special-issue-march-2026,"event-level conflict data; Middle East March 2026 special issue","Mar 2026",available_via_perplexity,"Tier 2: systematic event-level coding. Useful for cross-checking strike events and dates."
IDF,Israel Defense Forces,2,official_military,IL,https://www.idf.il,"official interception rate; cumulative counts; live updates","Mar 20; Mar 24",available_via_perplexity,"IDF/JNS: >400 BM at Israel total, 92% interception, ~10/day current, >70% stockpile depleted."
IDF_LIVE,IDF Live Update Pages,2,official_military,IL,https://www.idf.il/en/mini-sites/iran-israel-war-2026/iran-israel-war-2026-live-updates-1/,"per-day operational live updates","Mar 20; Mar 24",available_via_perplexity,"Mar 20 and Mar 24 pages confirmed. Other dates likely exist."
GOV_IL,Israeli Government Daily Status Reports,2,official_government,IL,https://www.gov.il/he/departments/publications/reports/,"daily Israel+US strike counts in Iran","Mar 26",available_via_perplexity,"Gov.il publishes daily status. Mar 26 confirmed: israel-and-us-strikes-in-iran-daily-status_26_3_26"
ALMA,Alma Research and Education Center,3,research_institute,IL,https://israel-alma.org,"daily Iran-only attack wave counts (BM+UAV from Iran); geographic distribution; cumulative series","Feb 28; Mar 1;3;8;11;12;15;16;17;18;19;20;22;24;25;26",fetched_and_perplexity,"IMPORTANT: Alma waves = Iran attack waves toward Israel only (excludes Hezbollah — tracked separately by Alma). BUT includes both Iranian BM and Iranian UAV/drones — not BM-only. Wave series (CORRECTED): 44→99→125→207→235→245→257→268→281→300→346 (Feb28→Mar1→Mar3→Mar11→Mar14→Mar15→Mar16→Mar17→Mar18→Mar19→Mar25). Example daily report URL format: https://israel-alma.org/daily-report-the-second-iran-war-march-15-2026-1800/"
JNS,Jewish News Syndicate,3,media_analysis,US,https://www.jns.org,"IDF-attributed data: interception rate; cumulative counts; depletion estimates","Mar 26-27",available_via_perplexity,"IDF sources via JNS: 92% interception; >400 BM at Israel; ~10/day; >70% stockpile depleted."
TIMES_IL,Times of Israel,3,israeli_media,IL,https://www.timesofisrael.com,"IDF assessment: pre-war BM stock; cumulative BM counts; cluster warhead data; barrage event logs","Mar 1; Mar 24; Mar 26-28",available_via_perplexity,"Liveblog Mar 1: IDF assesses Iran had ~2500 BM at war start. Mar 24: >450 BM at Israel (liveblog). Mar 26/27: 'majority of ballistic missiles at Israel had cluster bomb warheads'. Mar27 liveblog: >450 BM at Israel; 5-6 distinct Iranian barrage events documented; Haifa+TLV hits. Mar28 liveblog: several lightly hurt in Jerusalem-area Iranian missile hit; Houthi missile from Yemen separately intercepted."
WALLA,Walla News (Hebrew),3,israeli_media,IL,https://news.walla.co.il/item/3821112,"war statistics: siren alerts; BM destroyed by IL/US strikes","Mar 2026",available_via_perplexity,"2000-2500 Iranian BM destroyed by IL/US strikes (on-ground destruction, not launches). 22669 siren activations total (not a BM count proxy)."
WIKI_HE,Hebrew Wikipedia — 2026 Iranian attack on Israel,6,aggregated,IL,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%AA%D7%A7%D7%A4%D7%94_%D7%94%D7%90%D7%99%D7%A8%D7%90%D7%A0%D7%99%D7%AA_%D7%A2%D7%9C_%D7%99%D7%A9%D7%A8%D7%90%D7%9C_(2026),"cumulative missile counts citing IDF; ~10/day avg by Mar 24","through Mar 24",available_via_perplexity,"IDF-cited: ~300 missiles at Israel by Mar 12; ~10/day avg by Mar 24. Use as IDF-citation proxy."
BBC_ARABIC,BBC News Arabic,4,international_wire,UK,https://www.bbc.com/arabic/articles/cd0339k7r14o,"cumulative BM at Israel by Mar 4; Iranian capabilities analysis","through Mar 4",available_via_perplexity,"~128 BM from Iran toward Israel by Mar 4 (citing IDF/defense ministry). Also covers cluster munition IHL issues."
REUTERS,Reuters,4,international_wire,UK,https://www.reuters.com,"specific strike events; photo documentation","Mar 22; Mar 27",blocked_direct,"Direct fetch blocked. Mar 27 photo essay: 'Under the Iron Dome'. High reliability for event verification."
FPRI,Foreign Policy Research Institute,3,research_institute,US,https://www.fpri.org/article/2026/03/rising-lions-air-offensive-part-i/,"Israeli air offensive analysis; strike methodology","Mar 2026",available_via_perplexity,"'Rising Lion's Air Offensive: Part I' — useful for Israeli strike context affecting Iranian BM capacity."
ASHARQ,Asharq Al-Awsat (Arabic),5,3rd_country_media,SA,https://aawsat.com,"Iranian missile escalation; Israeli strikes on 3000 targets","Mar 2026",available_via_perplexity,"Arabic-language. Regional perspective."
WIKI_AR,Arabic Wikipedia — 2026 Iran War,6,aggregated,,-,https://ar.wikipedia.org/wiki/%D8%AD%D8%B1%D8%A8_%D8%A5%D9%8A%D8%B1%D8%A7%D9%86_2026,"2026 Iran war overview",,available_via_perplexity,"Cross-check only."
IRAN_WATCH,Iran Watch — Iranian Missile Arsenal,2,reference,US,https://www.iranwatch.org/our-publications/weapon-program-background-report/table-irans-missile-arsenal,"missile type reference table (Shahab-3, Ghadr, Emad, Kheibar-Shekan etc.)",,available_via_perplexity,"Reference for missile type identification. Pre-war inventory by type."
CNN,CNN — Iran war's troubling missile math,5,3rd_country_media,US,https://www.cnn.com/2026/03/04/politics/missiles-weapons-stockpile-iran-us-war,"missile math; stockpile analysis","Mar 4",available_via_perplexity,"Early stockpile analysis, Mar 4."
WAPO,The Washington Post,5,3rd_country_media,US,https://www.washingtonpost.com,"macro trend: ~90% reduction in launch rate","Mar 25",blocked_timeout,
WSJ,The Wall Street Journal,5,3rd_country_media,US,https://www.wsj.com,"early daily counts; rapid decline confirmation","early March",not_tried,
GUARDIAN,The Guardian,5,3rd_country_media,UK,https://www.theguardian.com,"cluster munition usage analysis","Mar 23",blocked,
NYPOST,New York Post,5,3rd_country_media,US,https://nypost.com,"launcher destruction 60-70%; late March activity","Mar 16; Mar 27",blocked,
WIKI_EN,Wikipedia EN — 2026 Iranian strikes on Israel,6,aggregated,,-,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Israel,"cluster munition detail; cumulative timelines",,available_via_perplexity,"Notes: by ~Mar 9 nearly half of ~300 BM at Israel carried cluster submunitions."
JINSA_MAR25_PDF,JINSA - Operations Epic Fury and Roaring Lion 3/25/26 Update,1,statistical_org,US,https://jinsa.org/wp-content/uploads/2026/03/Operations-Epic-Fury-and-Roaring-Lion-03-25-26.pdf,"Mar 25 global=26 BM; Jordan=5 BM; Saudi Arabia=63% of all attacks; Israel avg 10-15/day","Mar 25",confirmed_url,"Jordan=5 BM is first Jordan-specific quantification. Saudi Arabia dominated by drones not BM. Israel explicitly 'roughly 10-15 missiles per day over past week'. Final Mar 24 count=46 (vs 40 mid-day in Mar 24 PDF)."
JINSA_MAR26_PDF,JINSA - Operations Epic Fury and Roaring Lion 3/26/26 Update,1,statistical_org,US,https://jinsa.org/wp-content/uploads/2026/03/Operations-Epic-Fury-and-Roaring-Lion-03-26-26.pdf,"Mar 25-26 period data; Mar 24 Israel hit count 3 (mid-day)","Mar 25-26",confirmed_url,"'After Iran achieved fewer hits than on any other day on March 23, three Iranian projectiles have impacted in Israel on March 24 so far' — confirms mid-day count for Mar 24 (final=6)."
JINSA_MAR27_PDF,JINSA - Operations Epic Fury and Roaring Lion 3/27/26 Update,1,statistical_org,US,https://jinsa.org/wp-content/uploads/2026/03/Operations-Epic-Fury-and-Roaring-Lion-03-27-26.pdf,"Mar 25=26 BM; Mar 26=31 BM UAE=15; Mar 27=21 BM (partial); Saudi=6+Kuwait=4 on Mar 27","Mar 25-27",confirmed_url,"Mar 26: 'large escalation of 15 BMs targeting UAE; total 31'. Mar 27: Saudi Arabia=6 BM; Kuwait=4 BM all intercepted. Remaining=11 for Israel+others."
ISW_UAE_CHART,ISW/Critical Threats — Iranian Attacks on UAE Feb28-Mar24 2026,1,statistical_org,US,https://understandingwar.org/research/middle-east/iran-update-special-report-march-24-2026/,"Daily UAE breakdown: BM (teal bars) + Cruise Missiles (navy) + Drones (gold) Feb 28–Mar 24; all data from UAE Ministry of Defense","Feb 28 - Mar 24",chart_image,"CRITICAL UAE SERIES: Provides daily UAE BM counts for full 25-day period (only Mar22-24 previously known from JINSA). Key values (BM/drones): Feb28=137/209; Mar1=28/332; Mar2=9/148; Mar3=7/123; Mar4=9/129; Mar5-9≈0 BM/131-117 drones; Mar10=7/35; Mar11=6/39; Mar12=7/26; Mar13=9/27; Mar14=7/33; Mar15=4; Mar16=6/21; Mar17=10/45; Mar18=13/27; Mar19=7/15; Mar20=7; Mar21≈4; Mar22=4✓/26 drones/3CM; Mar23=7✓/25 drones; Mar24=5✓/17 drones✓/~16CM. 10-day UAE BM sum≈192 → consistent with CAPSS 605 BM at Gulf4 (UAE~32% share). Day1 UAE=137 BM = 31% of global 438 BM."
ALMA_MAR24_DAILY,Alma Daily Report — Second Iran War March 25 2026 18:00,3,research_institute,IL,https://israel-alma.org/daily-report-the-second-iran-war-march-25-2026-1800/,"Mar24 waves=9; cumul=346 (end-of-Mar24); bar chart confirms full series Feb28-Mar24","Feb 28 - Mar 24",image_analyzed,"CRITICAL: Explicitly states '346 total Iranian attack waves' and 'nine waves on March 24'. Confirms 346=end-of-Mar24 anchor. Geographic Mar24: North=1 (11.1%), TLV=3 (33.3%), South=5 (55.6%). Cumulative through Mar24: TLV=135 (38.2%), North=73 (20.7%), South=93 (26.3%), Jerusalem=52 (14.7%). Casualties: 18 killed + 5045+ injured."
ALMA_MAR26_DAILY,Alma Daily Report — Second Iran War March 26 2026,3,research_institute,IL,https://israel-alma.org/daily-report-the-second-iran-war-march-26-2026/,"Mar26 waves=11; cumul=377; Hezbollah data Mar2-26","Mar 26",image_analyzed,"Iranian attacks: daily=11; cumul=377 (end-of-Mar26 anchor). Implies Mar25=20 waves (derived: 377-346-11). Geographic Mar26: North=1 (6.7%), TLV+Jerusalem≈dominant (*5 waves targeted combined). Cumulative through Mar26: TLV=148 (38.9%), South=99 (26.1%), North=76 (20%), Jerusalem=57 (15%). Casualties: 18 killed + 5492+ injured. ALSO contains Hezbollah data (separate tracking): total Hezbollah waves Mar2-26=1177; Mar26 daily=93; weapon mix: UAV=806 (68.4%), Rockets/Missiles=291 (24.7%), Anti-tank=63 (5.3%)."
ALMA_DAILY_URLS,Alma Daily Report URL Series — confirmed report URLs,3,research_institute,IL,https://israel-alma.org,"Confirmed Alma daily report URLs for specific dates","Mar 5 - Mar 26",available_via_perplexity,"URL pattern: https://israel-alma.org/daily-report-the-second-iran-war-[month]-[day]-2026-[time]. Early war (different format): march-6-1200 (covers Mar5); weekend-march-6-7 (covers Mar6-7); march-9-day-11 (covers Mar8-9). Standard format confirmed: Mar16-1800 (covers Mar15); Mar17-1600 (covers Mar16; note: URL uses 'second-iran-war' not 'the-second-iran-war'); Mar18-1800 (covers Mar17); Mar20-1600 (covers Mar19); Mar22-1800 (covers Mar21; confirms 329 cumul+29 weekend waves); Mar23-1800 (covers Mar22; confirms Mar22=8); Mar24-1600 (covers Mar23; confirms Mar23=7); Mar25-1800 (covers Mar24; confirms 346 cumul+Mar24=9); Mar26 (covers Mar26; confirms 377+Mar26=11); Mar26-1800 (covers Mar25; Mar25 daily=20 derived). Rule: URL date = data date + 1 day."
ALMA_WEEKEND_MAR1314,Alma Weekend Update — Iranian Attacks March 13-14 2026,3,research_institute,IL,https://israel-alma.org,"daily wave bar chart Feb28-Mar14 (exact values: 44/55/16/10/10/11/7/12/9/13/9/11/10/11/7=235); weekend geographic breakdown Mar13-14; cumulative war totals; casualties","Feb 28 - Mar 14",image_analyzed,"CRITICAL VALIDATION SOURCE: Bar chart confirms the exact Statista/Alma daily series for all 15 days Feb28-Mar14. Values match perfectly. NEW ANCHOR: alma_waves_cumul=235 as of end Mar 14 (explicitly stated). Weekend Mar13-14 total=18 waves (North=7 38.9%, TLV=4 22.2%, South=5 27.8%, Jerusalem=2 11.1%). Cumulative geographic (since war start): TLV=90 (38.3%), North=56 (23.8%), South=53 (22.6%), Jerusalem=36 (15.3%). Casualties since war start: 15 killed, 3195+ injured. Caption: 'figures reflect number of attack waves identified, not total number of munitions'."
CAPSS_CHPM,The West Asia Imbroglio — CAPSS and CHPM Joint Venture,5,academic_analysis,IN,https://capssindia.org/the-west-asia-imbroglio-a-capss-and-chpm-joint-venture/,"10-day Gulf aggregate: 605 BM at UAE+Qatar+Bahrain+Kuwait Feb 28-Mar 10; confirms 438 BM global Day 1; confirms 300 MRBMs at Israel by Mar 10","Feb 28 - Mar 10",available_via_perplexity,"Indian academic analysis citing Reuters review and JINSA/IDF. KEY FIGURE: 605 BM at Gulf 4 in first 10 days (vs 300 at Israel = ~905 at these 5 targets combined). CAPSS cites 'medium-range ballistic missiles' qualifier for the Israel 300 figure — may be MRBMs specifically not all BM types."
YNET,Ynet News (Hebrew),3,israeli_media,IL,https://www.ynet.co.il,"Hebrew live blog: siren alerts; barrage descriptions; impact reports","Mar 27-28",available_via_perplexity,"Hebrew-language Israeli news. Mar27 liveblog: siren events documented in Beersheba/Dimona/center/Jerusalem from Iran; Haifa cluster hit; Tel Aviv fatal hit confirmed. Mar28: small Iranian salvo intercepted + separate Houthi BM from Yemen. Used for media-siren-count estimation method."
